credit_score,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
619,Female,42,2,0,1,yes,yes,101348.88,yes
608,Female,41,1,83807.86,1,no,yes,112542.58,no
502,Female,42,8,159660.8,3,yes,no,113931.57,yes
699,Female,39,1,0,2,no,no,93826.63,no
850,Female,43,2,125510.82,1,yes,yes,79084.1,no
645,Male,44,8,113755.78,2,yes,no,149756.71,yes
822,Male,50,7,0,2,yes,yes,10062.8,no
376,Female,29,4,115046.74,4,yes,no,119346.88,yes
501,Male,44,4,142051.07,2,no,yes,74940.5,no
684,Male,27,2,134603.88,1,yes,yes,71725.73,no
528,Male,31,6,102016.72,2,no,no,80181.12,no
497,Male,24,3,0,2,yes,no,76390.01,no
476,Female,34,10,0,2,yes,no,26260.98,no
549,Female,25,5,0,2,no,no,190857.79,no
635,Female,35,7,0,2,yes,yes,65951.65,no
616,Male,45,3,143129.41,2,no,yes,64327.26,no
653,Male,58,1,132602.88,1,yes,no,5097.67,yes
549,Female,24,9,0,2,yes,yes,14406.41,no
587,Male,45,6,0,1,no,no,158684.81,no
726,Female,24,6,0,2,yes,yes,54724.03,no
732,Male,41,8,0,2,yes,yes,170886.17,no
636,Female,32,8,0,2,yes,no,138555.46,no
510,Female,38,4,0,1,yes,no,118913.53,yes
669,Male,46,3,0,2,no,yes,8487.75,no
846,Female,38,5,0,1,yes,yes,187616.16,no
577,Male,25,3,0,2,no,yes,124508.29,no
756,Male,36,2,136815.64,1,yes,yes,170041.95,no
571,Male,44,9,0,2,no,no,38433.35,no
574,Female,43,3,141349.43,1,yes,yes,100187.43,no
411,Male,29,0,59697.17,2,yes,yes,53483.21,no
591,Female,39,3,0,3,yes,no,140469.38,yes
533,Male,36,7,85311.7,1,no,yes,156731.91,no
553,Male,41,9,110112.54,2,no,no,81898.81,no
520,Female,42,6,0,2,yes,yes,34410.55,no
722,Female,29,9,0,2,yes,yes,142033.07,no
475,Female,45,0,134264.04,1,yes,no,27822.99,yes
490,Male,31,3,145260.23,1,no,yes,114066.77,no
804,Male,33,7,76548.6,1,no,yes,98453.45,no
850,Male,36,7,0,1,yes,yes,40812.9,no
582,Male,41,6,70349.48,2,no,yes,178074.04,no
472,Male,40,4,0,1,yes,no,70154.22,no
465,Female,51,8,122522.32,1,no,no,181297.65,yes
556,Female,61,2,117419.35,1,yes,yes,94153.83,no
834,Female,49,2,131394.56,1,no,no,194365.76,yes
660,Female,61,5,155931.11,1,yes,yes,158338.39,no
776,Female,32,4,109421.13,2,yes,yes,126517.46,no
829,Female,27,9,112045.67,1,yes,yes,119708.21,yes
637,Female,39,9,137843.8,1,yes,yes,117622.8,yes
550,Male,38,2,103391.38,1,no,yes,90878.13,no
776,Female,37,2,103769.22,2,yes,no,194099.12,no
698,Male,44,10,116363.37,2,yes,no,198059.16,no
585,Male,36,5,146050.97,2,no,no,86424.57,no
788,Female,33,5,0,2,no,no,116978.19,no
655,Male,41,8,125561.97,1,no,no,164040.94,yes
601,Male,42,1,98495.72,1,yes,no,40014.76,yes
619,Male,43,1,125211.92,1,yes,yes,113410.49,no
656,Male,45,5,127864.4,1,yes,no,87107.57,no
725,Male,19,0,75888.2,1,no,no,45613.75,no
511,Female,66,4,0,1,yes,no,1643.11,yes
614,Male,51,4,40685.92,1,yes,yes,46775.28,no
742,Male,35,5,136857,1,no,no,84509.57,no
687,Female,27,9,152328.88,2,no,no,126494.82,no
555,Male,33,1,56084.69,2,no,no,178798.13,no
684,Male,56,8,78707.16,1,yes,yes,99398.36,no
603,Male,26,4,109166.37,1,yes,yes,92840.67,no
751,Female,36,6,169831.46,2,yes,yes,27758.36,no
581,Female,34,1,101633.04,1,yes,no,110431.51,no
735,Male,43,10,123180.01,2,yes,yes,196673.28,no
661,Female,35,5,150725.53,2,no,yes,113656.85,no
675,Female,21,8,98373.26,1,yes,no,18203,no
738,Male,58,2,133745.44,4,yes,no,28373.86,yes
813,Male,29,6,0,1,yes,no,33953.87,no
657,Female,37,0,163607.18,1,no,yes,44203.55,no
604,Female,25,5,157780.84,2,yes,yes,58426.81,no
519,Male,36,9,0,2,no,yes,145562.4,no
735,Female,21,1,178718.19,2,yes,no,22388,no
664,Male,55,8,0,2,yes,yes,139161.64,no
678,Female,32,9,0,1,yes,yes,148210.64,no
757,Male,33,5,77253.22,1,no,yes,194239.63,no
416,Female,41,10,122189.66,2,yes,no,98301.61,no
665,Female,34,1,96645.54,2,no,no,171413.66,no
777,Female,32,2,0,1,yes,no,136458.19,yes
543,Female,36,3,0,2,no,no,26019.59,no
506,Female,34,4,90307.62,1,yes,yes,159235.29,no
493,Female,46,4,0,2,yes,no,1907.66,no
652,Female,75,10,0,2,yes,yes,114675.75,no
750,Male,22,3,121681.82,1,yes,no,128643.35,yes
729,Male,30,9,0,2,yes,no,151869.35,no
646,Female,46,4,0,3,yes,no,93251.42,yes
635,Female,28,3,81623.67,2,yes,yes,156791.36,no
647,Female,44,5,0,3,yes,yes,174205.22,yes
808,Male,45,7,118626.55,2,yes,no,147132.46,no
524,Female,36,10,0,2,yes,no,109614.57,no
769,Male,29,8,0,2,yes,yes,172290.61,no
730,Male,42,4,0,2,no,yes,85982.47,no
515,Male,35,10,176273.95,1,no,yes,121277.78,no
773,Male,41,9,102827.44,1,no,yes,64595.25,no
814,Male,29,8,97086.4,2,yes,yes,197276.13,no
710,Male,22,8,0,2,no,no,99645.04,no
413,Male,34,9,0,2,no,no,6534.18,no
665,Female,40,6,0,1,yes,yes,161848.03,no
623,Female,44,6,0,2,no,no,167162.43,no
738,Male,31,9,82674.15,1,yes,no,41970.72,no
528,Male,36,7,0,2,yes,no,60536.56,no
670,Female,65,1,0,1,yes,yes,177655.68,yes
622,Female,46,4,107073.27,2,yes,yes,30984.59,yes
582,Male,32,1,88938.62,1,yes,yes,10054.53,no
785,Female,36,2,99806.85,1,no,yes,36976.52,no
605,Male,33,5,150092.8,1,no,no,71862.79,no
479,Male,35,9,92833.89,1,yes,no,99449.86,yes
685,Male,30,3,90536.81,1,no,yes,63082.88,no
538,Male,39,7,108055.1,2,yes,no,27231.26,no
